Strategy,best_composite_count,best_norm_area_count,best_norm_bldg_count,total_best_count
MCTS,35,41,14,90
Structures–Outcome (Mean),5,0,17,22
Structures–Outcome (Truth),5,1,11,17
Structures–Exposure,4,1,8,13
ROS–Mean,1,2,1,4
ROS–Truth,0,1,0,1
Random Allocation,0,2,0,2
Wind–Mean,0,0,0,0
Wind–Mean Lookahead,0,0,0,0
Wind–Truth,0,0,0,0
Wind–Truth Lookahead,0,2,0,2
