case,metric,n,mean,std,cv,mn,p05,p50,p95,mx
Marshall Medium Uncertainty,area_cells,1000,56992.399,8854.731102450018,0.15536687800157384,30217.0,43291.85,56346.5,71698.99999999999,89287.0
Marshall Medium Uncertainty,buildings,1000,4059.532,640.8039299603684,0.15785167599624003,1608.0,3029.95,4054.5,5106.949999999999,5794.0
Marshall Medium Uncertainty,jaccard,499500,0.7418846226568817,0.09416209887572832,0.12692283409044033,0.22986412441009724,0.5716937659524731,0.7518142992032191,0.8775890321423037,0.9628511860502413
