case,run,seed,area_cells,buildings,perimeter_m,compactness
Marshall Medium Uncertainty,966,853552429,65124,3751,348154.9607500869,0.006076426732955592
Marshall Medium Uncertainty,967,1639318300,76471,5095,423923.79402815696,0.004812531178597122
Marshall Medium Uncertainty,968,2727934612,71474,4458,369307.5213449413,0.005926853002794493
Marshall Medium Uncertainty,969,2157082675,51535,3728,336357.10144995933,0.005151734240591319
Marshall Medium Uncertainty,970,1956768921,56036,3794,337227.2529689761,0.005572809153422613
Marshall Medium Uncertainty,971,593078615,60709,5600,431945.4000787143,0.003679999382750292
Marshall Medium Uncertainty,972,3504049378,50970,3392,313212.5690052843,0.0058760927702199576
Marshall Medium Uncertainty,973,3179456309,63136,4812,406884.6143844694,0.0043130739144708625
Marshall Medium Uncertainty,974,3584404073,56163,3607,338545.48673388467,0.005542026710246984
Marshall Medium Uncertainty,975,2092562030,56829,4268,384491.17933758727,0.004347600453214495
Marshall Medium Uncertainty,976,3586292302,85483,4074,411448.66417293,0.005710850816622672
Marshall Medium Uncertainty,977,3721552818,49210,3486,323634.3265748582,0.005313694476954427
Marshall Medium Uncertainty,978,2811503360,87810,4871,434094.00830840424,0.005270220279078241
Marshall Medium Uncertainty,979,4236657462,62915,4324,396902.196643115,0.004516890573013464
Marshall Medium Uncertainty,980,1662296184,64508,4669,403786.0862470458,0.004474693066678149
Marshall Medium Uncertainty,981,3428445395,48053,3127,272077.5365733633,0.007341545694320827
Marshall Medium Uncertainty,982,1663366442,44717,3595,311672.64043203404,0.0052062818138326975
Marshall Medium Uncertainty,983,2702459585,55018,3661,343946.3698514308,0.005259878499148848
Marshall Medium Uncertainty,984,731310902,38336,2197,219241.040944384,0.00902018529474684
Marshall Medium Uncertainty,985,1285625107,54289,3895,347825.4780683679,0.005075062956574026
Marshall Medium Uncertainty,986,2222085735,46260,3904,337499.75080259825,0.004593154868714135
Marshall Medium Uncertainty,987,50047204,63996,3701,326320.3482131444,0.006796994080740253
Marshall Medium Uncertainty,988,1040519773,75378,5406,438611.6446627663,0.004431356279246775
Marshall Medium Uncertainty,989,1688295054,51486,3774,333574.1663903254,0.005233071963351896
Marshall Medium Uncertainty,990,791559385,57906,3848,360568.11008997064,0.005037340549719726
Marshall Medium Uncertainty,991,1973679490,57359,4517,375792.57977341424,0.0045936462073630415
Marshall Medium Uncertainty,992,2829759076,43765,3223,275432.23786808853,0.006524537998676122
Marshall Medium Uncertainty,993,1644245143,57379,4520,381211.0364840892,0.004465544459865432
Marshall Medium Uncertainty,994,841624489,64440,4553,407026.0862470454,0.004399095773925155
Marshall Medium Uncertainty,995,328859297,44737,3331,276563.1924123843,0.006615009491049466
Marshall Medium Uncertainty,996,3620722369,53664,3533,335781.7399834538,0.00538296137892072
Marshall Medium Uncertainty,997,2608323206,58419,4218,370234.8719923041,0.004820053380793826
Marshall Medium Uncertainty,998,3629498649,60306,4847,402491.97369735054,0.004210158521270583
Marshall Medium Uncertainty,999,2490396601,62152,3928,360196.2010013808,0.005417878057012894
