Strategy,best_composite_count,best_norm_area_count,best_norm_bldg_count,total_best_count
MCTS,8,7,8,23
Wind–Truth Lookahead,2,2,2,6
ROS–Mean,0,0,0,0
ROS–Truth,0,0,0,0
Random Allocation,0,0,0,0
Structures–Outcome (Mean),0,0,0,0
Structures–Exposure,0,0,0,0
Structures–Outcome (Truth),0,1,0,1
Wind–Mean,0,0,0,0
Wind–Mean Lookahead,0,0,1,1
Wind–Truth,0,0,0,0
