case,metric,n,mean,std,cv,mn,p05,p50,p95,mx
Marshall Medium Uncertainty,area_cells,1000,56992.399,8854.731102450018,0.15536687800157384,30217.0,43291.85,56346.5,71698.99999999999,89287.0
Marshall Medium Uncertainty,buildings,1000,4059.532,640.8039299603684,0.15785167599624003,1608.0,3029.95,4054.5,5106.949999999999,5794.0
Marshall Medium Uncertainty,jaccard,499500,0.7418846226568817,0.09416209887572832,0.12692283409044033,0.22986412441009724,0.5716937659524731,0.7518142992032191,0.8775890321423037,0.9628511860502413
Marshall High Uncertainty,area_cells,1000,63434.031,14758.519659524785,0.23265933800620026,24239.0,40318.35,62987.0,89276.35,104249.0
Marshall High Uncertainty,buildings,1000,4061.419,923.1067487070542,0.2272867558621886,1548.0,2659.7,4010.5,5597.4,6808.0
Marshall High Uncertainty,jaccard,499500,0.6249739490739376,0.12796823517935138,0.20475771089174166,0.15198665572018713,0.400458385321391,0.6336371968505624,0.8196276998667403,0.9627511160714286
