Strategy,best_composite_count,best_norm_area_count,best_norm_bldg_count,total_best_count
MCTS,60,58,55,173
Structures–Outcome (Truth),18,17,20,55
ROS–Mean,6,6,7,19
Structures–Exposure,6,3,7,16
ROS–Truth,3,1,3,7
Wind–Truth,3,4,1,8
Random Allocation,2,7,2,11
Wind–Mean,2,3,1,6
Structures–Outcome (Mean),1,1,4,6
Wind–Truth Lookahead,1,2,1,4
Wind–Mean Lookahead,0,1,0,1
