rollout_depth_adjustment,n_samples,n_run_uids,mean_norm_area,se_norm_area,mean_norm_bldg,se_norm_bldg,mean_composite,se_composite,mean_seconds,se_seconds
0,10,10,0.5115436258811459,0.0458403081336043,0.4473163262125916,0.043738576886442795,0.46872542610210965,0.040908651486919106,982.7,29.87531496812116
1,10,10,0.4635189298561455,0.06858912997133863,0.35349143840646824,0.06429399664280036,0.39016726888969394,0.0636503582295287,1031.3,30.24200537148436
2,10,10,0.5166642673463555,0.045927187238409745,0.41991444026118846,0.055699832852102206,0.4521643826229108,0.04885117611383845,1086.6,27.900696924788253
3,10,10,0.5343388340559062,0.04485822040814131,0.4150735427236728,0.060696267858616385,0.4548286398344173,0.052489861218326134,1131.5,30.870428136540855
4,10,10,0.5148740275963417,0.04518947904141621,0.42082920087683273,0.05059326193368728,0.4521774764500024,0.04522881423227529,1172.5,30.505828222743855
5,10,10,0.5830764199660352,0.04501622276771097,0.4893892236996689,0.060592003189664165,0.520618289121791,0.053536863847619076,1199.3,29.901337762715567
6,10,10,0.5571147514855739,0.04909728530826413,0.4397933115339079,0.06214248087454044,0.47890045818446325,0.055748763091490204,1221.6,38.79180898649152
