rollout_depth_adjustment,n_samples,n_run_uids,mean_norm_area,se_norm_area,mean_norm_bldg,se_norm_bldg,mean_composite,se_composite,mean_seconds,se_seconds
0,10,10,0.6661373670942731,0.036315187013430554,0.3085430830685908,0.07518790280600435,0.4277411777438182,0.06079569611732908,5193.7,75.59777333581548
2,10,10,0.7020167320458907,0.02537413012237509,0.20790617549825002,0.04051872663694385,0.37260969434746355,0.034529138359447424,6274.4,50.659034512886016
7,10,10,0.6620775464162841,0.02205672928575774,0.1993702633084069,0.046529885707272255,0.35360602434436594,0.03450859643901885,8263.9,66.1388186569229
12,10,10,0.7162942054697847,0.024709762035928076,0.22655365909820246,0.04202110049586307,0.3898005078887299,0.0354646924338787,10004.2,58.98037338339292
17,10,10,0.6663851187317942,0.028231454805610647,0.15099726483559991,0.03296915387609453,0.3227932161343313,0.026705466824739076,10821.0,159.88773839444
22,10,10,0.6811119388678991,0.018289708416148888,0.1711102838156754,0.028271339377916163,0.34111083549974996,0.02126493909033395,11054.7,121.68794791049223
