case,run,seed,area_cells,buildings,perimeter_m,compactness
Esperanza High Uncertainty,364,3719550890,336951,6305,1184066.3735464572,0.0027181099956882704
Esperanza High Uncertainty,365,1241040218,384669,6035,1309452.5054787702,0.002537231298029718
Esperanza High Uncertainty,366,1305452359,303151,5858,1058167.4407424864,0.0030619816933742886
Esperanza High Uncertainty,367,3951158997,361394,2679,1060035.5143228618,0.0036374118734173485
Esperanza High Uncertainty,368,3154891133,290872,2429,878949.5144759215,0.004258203664897643
Esperanza High Uncertainty,369,1914781492,293000,3495,956440.7741608538,0.0036224619234922865
Esperanza High Uncertainty,370,3700081943,304123,6900,1140215.5337565022,0.002645621630549473
Esperanza High Uncertainty,371,3810510051,280851,2355,857617.4711993498,0.004318581385177491
Esperanza High Uncertainty,372,2863521983,342641,8334,1305783.6115420847,0.0022727374857437104
Esperanza High Uncertainty,373,3030102598,329066,3423,1058746.4861981913,0.0033201019641934874
Esperanza High Uncertainty,374,3502566457,339371,3756,1080101.8303336583,0.003290013632880561
Esperanza High Uncertainty,375,3238452668,350955,8164,1335599.4729958368,0.002225109200828926
Esperanza High Uncertainty,376,395324313,358999,5015,1220201.334551622,0.0027269841958099386
Esperanza High Uncertainty,377,625989046,299519,4528,970145.2351787777,0.003599177295603324
Esperanza High Uncertainty,378,539456843,405815,5794,1344030.633154856,0.0025407511720216755
Esperanza High Uncertainty,379,3910346393,385955,8293,1442682.31273477,0.002097237575562654
Esperanza High Uncertainty,380,328399008,342021,3995,1111916.2112593167,0.0031286791047258258
Esperanza High Uncertainty,381,1485719354,283793,2172,829223.8218722244,0.00466778143653598
Esperanza High Uncertainty,382,3604114432,344607,5488,1182984.7588303804,0.0027849549206825468
Esperanza High Uncertainty,383,1017277807,380856,6017,1321232.0595872374,0.0024674875427077056
Esperanza High Uncertainty,384,1137519669,370917,8099,1368394.442666523,0.002240301700200013
Esperanza High Uncertainty,385,3309646895,321937,2686,976987.0014138676,0.003814570932234901
Esperanza High Uncertainty,386,879328940,369645,6145,1279110.2565874704,0.0025551785136115053
Esperanza High Uncertainty,387,3868689197,401886,5435,1293072.0769182718,0.002718377606859402
Esperanza High Uncertainty,388,4125375585,388989,8857,1474332.2867382143,0.002023946093108906
Esperanza High Uncertainty,389,2668484469,377166,3417,1150397.2025682884,0.00322321499989457
Esperanza High Uncertainty,390,38219612,297868,5918,1069964.4169250664,0.002942642838620708
Esperanza High Uncertainty,391,3411016760,428368,7939,1521425.2585625213,0.002092994802772737
Esperanza High Uncertainty,392,3499799574,327752,4952,1122038.1203479045,0.002944302990119871
Esperanza High Uncertainty,393,2433816542,280411,3602,910279.114014584,0.0038273507436052388
Esperanza High Uncertainty,394,2651200755,301861,7474,1150739.932013196,0.0025781311851478853
Esperanza High Uncertainty,395,1358560646,385812,4948,1255032.5574718756,0.0027702446223132554
Esperanza High Uncertainty,396,2518845513,327563,7203,1227340.817233344,0.002459330286661675
Esperanza High Uncertainty,397,2440402994,322767,5598,1137184.8649192008,0.0028227951154604193
Esperanza High Uncertainty,398,3788226933,379751,5918,1307969.7132726328,0.002510475133789707
Esperanza High Uncertainty,399,3421159505,327065,6178,1169330.9493187186,0.00270527585323592
Esperanza High Uncertainty,400,1945364798,352631,8089,1345084.31714406,0.0022043159542051564
Esperanza High Uncertainty,401,3982275843,317487,4783,1060650.8931204008,0.00319178328901451
Esperanza High Uncertainty,402,3442314723,345193,2867,1052018.1723410182,0.0035275068856127348
Esperanza High Uncertainty,403,4016625819,312936,3977,997389.1074516715,0.0035577764707618777
Esperanza High Uncertainty,404,1905761073,323218,7114,1175101.0921722192,0.002647265210065694
Esperanza High Uncertainty,405,1891051891,311707,6197,1106995.7826988224,0.002876782287429023
Esperanza High Uncertainty,406,4207296895,301186,5514,1039486.7264749932,0.0031524576287712313
Esperanza High Uncertainty,407,1416390392,379700,4517,1236859.1938517464,0.0028070648587286318
Esperanza High Uncertainty,408,1813423865,314635,2646,964973.1745711707,0.003821456535466708
Esperanza High Uncertainty,409,2554642647,296431,5532,1048704.951574385,0.0030483817673011278
Esperanza High Uncertainty,410,2913750067,337219,5681,1184591.4493059632,0.0027178608807666422
Esperanza High Uncertainty,411,478776855,360976,3581,1133696.854100059,0.0031764119310136933
Esperanza High Uncertainty,412,1388158214,317911,7112,1185910.7804686676,0.0025565476669381906
Esperanza High Uncertainty,413,1736066068,339389,5570,1176290.8605609324,0.002774090916475751
Esperanza High Uncertainty,414,2016034656,368245,6706,1306170.5963901822,0.002441121671198392
Esperanza High Uncertainty,415,3602216242,358252,2839,1075508.2351022474,0.003502785287077867
Esperanza High Uncertainty,416,150466024,371632,3846,1169181.5293982308,0.003074691763383555
Esperanza High Uncertainty,417,2184073459,345766,4310,1130602.009951832,0.0030592512973274403
Esperanza High Uncertainty,418,3794190301,365627,3301,1122591.4298723203,0.0032813094383790558
Esperanza High Uncertainty,419,3500177812,300396,5044,1078579.7156303434,0.0029203978630496672
Esperanza High Uncertainty,420,2068655564,391031,3782,1220620.2999150585,0.002968263046451654
Esperanza High Uncertainty,421,371047618,425493,4213,1318845.0660736125,0.002766669199593465
Esperanza High Uncertainty,422,3428045527,438923,6072,1468173.9728810322,0.0023029561603562657
Esperanza High Uncertainty,423,378907893,423236,6963,1464740.9663946535,0.0022310706251900277
Esperanza High Uncertainty,424,761217100,326601,3204,1003601.4537662761,0.0036673074450001373
Esperanza High Uncertainty,425,490098115,258963,3191,809842.1443949178,0.004465697933570661
Esperanza High Uncertainty,426,2772677921,304388,4515,1009597.9212960913,0.003377403935623415
Esperanza High Uncertainty,427,790263816,356198,3561,1118187.0943768616,0.0032219210856695287
Esperanza High Uncertainty,428,1289551157,353002,6401,1235485.7414738361,0.002615496023832296
Esperanza High Uncertainty,429,3451157815,346643,5351,1196907.6852244944,0.002736613701195316
Esperanza High Uncertainty,430,273357715,288995,4648,982709.7849544848,0.003384481477310283
