rollout_depth_adjustment,n_samples,n_run_uids,mean_norm_area,se_norm_area,mean_norm_bldg,se_norm_bldg,mean_composite,se_composite,mean_seconds,se_seconds
0,10,10,0.619947824720749,0.03402564106510878,0.16401185606839727,0.06633879072213258,0.31599051228584785,0.05296507741137935,5301.7,58.136821378537704
2,10,10,0.5945341668410329,0.02948762065254113,0.11652181321999824,0.02560109141053346,0.2758592644270098,0.02589921098957286,6150.1,76.08233113615218
7,10,10,0.6294935621330444,0.020923104599313187,0.1183940243979491,0.025196787557121916,0.28876053697631426,0.0229011461449416,8276.4,64.60842738288008
12,10,10,0.6141159651737472,0.018759599193457193,0.10795756804058998,0.01939235505266817,0.2766770337516424,0.018215539763973804,9849.6,61.677692707961896
17,10,10,0.6151437782776854,0.016553837664158192,0.10420015188382332,0.019399048339863362,0.27451469401511064,0.017472305136764454,10860.0,83.66308093245856
22,10,10,0.6223110252144279,0.01846203146987097,0.10355931700874962,0.01495333658226322,0.27647655307730906,0.015393068649346876,10731.5,57.206303071524474
