run,seed,run_uid,strategy,norm_area,norm_bldg,composite
100,433978980,100|433978980,MCTS,0.5327842536797393,0.3182488932611904,0.3897606800673733
100,433978980,100|433978980,ROS–Mean,0.6336313345846093,0.5226266601082145,0.5596282182670127
100,433978980,100|433978980,ROS–Truth,0.6584263558233725,0.5201672405312346,0.5662536122952806
100,433978980,100|433978980,Random Allocation,0.5698903487108564,0.632562715199213,0.6116719263697608
100,433978980,100|433978980,Structures–Exposure,0.6463128519213672,0.6384653221839646,0.6410811654297655
100,433978980,100|433978980,Structures–Outcome (Mean),0.5289810332905265,0.4244958189867191,0.45932422375465487
100,433978980,100|433978980,Structures–Outcome (Truth),0.5532450854489775,0.3157894736842105,0.3949413442724662
100,433978980,100|433978980,Wind–Mean,0.5750518620962165,0.5186915887850467,0.5374783465554367
100,433978980,100|433978980,Wind–Mean Lookahead,0.5941420527511607,0.5201672405312346,0.5448255112712099
100,433978980,100|433978980,Wind–Truth,0.5750518620962165,0.5186915887850467,0.5374783465554367
100,433978980,100|433978980,Wind–Truth Lookahead,0.5941420527511607,0.5201672405312346,0.5448255112712099
101,433978981,101|433978981,MCTS,0.2818960425280567,0.19198921625264778,0.22195815834445073
101,433978981,101|433978981,ROS–Mean,0.6987349872022052,0.7608318890814558,0.7401329217883722
101,433978981,101|433978981,ROS–Truth,0.40022642252411894,0.4099749663007895,0.40672545170856594
101,433978981,101|433978981,Random Allocation,0.7016021854695806,0.7606393221644522,0.7409602765994949
101,433978981,101|433978981,Structures–Exposure,0.6730778696593818,0.6279607163489312,0.6429997674524147
101,433978981,101|433978981,Structures–Outcome (Mean),0.6680695018704469,0.6167918351627191,0.6338843907319617
101,433978981,101|433978981,Structures–Outcome (Truth),0.4573858042921835,0.2988638551896784,0.3517045048905134
101,433978981,101|433978981,Wind–Mean,0.43869364048040954,0.43558636626227615,0.43662212433498726
101,433978981,101|433978981,Wind–Mean Lookahead,0.6524660366213821,0.7627575582514924,0.7259937177081222
101,433978981,101|433978981,Wind–Truth,0.43924739121874384,0.4371269015983054,0.43783373147178484
101,433978981,101|433978981,Wind–Truth Lookahead,0.6537335105335697,0.7666088965915656,0.728983767905567
102,433978982,102|433978982,MCTS,0.6714425959829128,0.5210104444984212,0.5711544949932517
102,433978982,102|433978982,ROS–Mean,0.8573987104990846,0.7614768034976925,0.7934507724981564
102,433978982,102|433978982,ROS–Truth,0.8253071187879752,0.7347583191644401,0.7649412523722852
102,433978982,102|433978982,Random Allocation,0.8376980020695693,0.7983968909400049,0.8114972613165263
102,433978982,102|433978982,Structures–Exposure,0.8109129984876224,0.6822929317464173,0.725166287326819
102,433978982,102|433978982,Structures–Outcome (Mean),0.671137467165486,0.4153509837260141,0.5006131448725046
102,433978982,102|433978982,Structures–Outcome (Truth),0.8107803337843933,0.639786252125334,0.6967842793450204
102,433978982,102|433978982,Wind–Mean,0.6892594656265754,0.518824386689337,0.5756360796684163
102,433978982,102|433978982,Wind–Mean Lookahead,0.8321260845339489,0.7141122176341996,0.7534501732674493
102,433978982,102|433978982,Wind–Truth,0.6909443073575844,0.5248967694923488,0.5802459487807606
102,433978982,102|433978982,Wind–Truth Lookahead,0.754026373743002,0.7422880738401749,0.7462008404744506
103,433978983,103|433978983,MCTS,0.4428160876303396,0.33136869679109365,0.3685178270708423
103,433978983,103|433978983,ROS–Mean,0.4857736115917606,0.40122244051517136,0.42940616420736777
103,433978983,103|433978983,ROS–Truth,0.6054227291193331,0.550098231827112,0.568539730924519
103,433978983,103|433978983,Random Allocation,0.7007417884172673,0.6149312377210217,0.6435347546197702
103,433978983,103|433978983,Structures–Exposure,0.7198206466950542,0.6160227024667103,0.6506220172094916
103,433978983,103|433978983,Structures–Outcome (Mean),0.7157581137810144,0.5520628683693517,0.6066279501732392
103,433978983,103|433978983,Structures–Outcome (Truth),0.741743278012669,0.6166775813141235,0.6583661468803053
103,433978983,103|433978983,Wind–Mean,0.7232211372082875,0.6651386160227024,0.6844994564178974
103,433978983,103|433978983,Wind–Mean Lookahead,0.672138547418787,0.5898275485701812,0.6172645481863831
103,433978983,103|433978983,Wind–Truth,0.7236424369178917,0.6592447063959834,0.6807106165699528
103,433978983,103|433978983,Wind–Truth Lookahead,0.6813168625208769,0.5981226806374154,0.6258540745985692
104,433978984,104|433978984,MCTS,0.777988766196464,0.3925925925925926,0.521057983793883
104,433978984,104|433978984,ROS–Mean,0.8844705431799323,0.8285714285714286,0.8472044667742632
104,433978984,104|433978984,ROS–Truth,0.8726144124593094,0.8158730158730159,0.8347868147351136
104,433978984,104|433978984,Random Allocation,0.816269866598583,0.5858906525573192,0.6626837239044071
104,433978984,104|433978984,Structures–Exposure,0.873875023935661,0.8243386243386244,0.8408507575376365
104,433978984,104|433978984,Structures–Outcome (Mean),0.8117859194485224,0.5731922398589065,0.6527234663887784
104,433978984,104|433978984,Structures–Outcome (Truth),0.7761696559647667,0.3869488536155203,0.5166891210652691
104,433978984,104|433978984,Wind–Mean,0.8890661900810621,0.8074074074074075,0.834627001631959
104,433978984,104|433978984,Wind–Mean Lookahead,0.8171155932852493,0.5661375661375662,0.6497969085201272
104,433978984,104|433978984,Wind–Truth,0.8890661900810621,0.8074074074074075,0.834627001631959
104,433978984,104|433978984,Wind–Truth Lookahead,0.865242228888747,0.7396825396825397,0.7815357694179421
106,433978986,106|433978986,MCTS,0.19045260696106756,0.02821522309711286,0.08229435105176441
106,433978986,106|433978986,ROS–Mean,0.7890218737102765,0.6968503937007874,0.727574220370617
