case,run,seed,area_cells,buildings,perimeter_m,compactness
Esperanza Medium Uncertainty,307,2440391107,278887,6833,1070769.2697388122,0.002750988953567958
Esperanza Medium Uncertainty,308,54112252,306677,6155,1118180.3324745316,0.002774021873355138
Esperanza Medium Uncertainty,309,1328636416,306803,5934,1077762.650689975,0.0029872097414599267
Esperanza Medium Uncertainty,310,1308618097,306250,5227,1046126.7178094751,0.0031648992017829112
Esperanza Medium Uncertainty,311,859270832,318133,4779,1065638.903939544,0.0031684069701012007
Esperanza Medium Uncertainty,312,2546425064,285366,5733,1023791.3022472581,0.0030791562675113993
Esperanza Medium Uncertainty,313,3650276264,278822,5979,1013485.6464082382,0.0030700412220739256
Esperanza Medium Uncertainty,314,1814808671,321591,6071,1134270.0207709786,0.0028269840117349826
Esperanza Medium Uncertainty,315,1918360730,285418,5586,1002247.126936329,0.0032135428268737424
Esperanza Medium Uncertainty,316,1889407576,311222,5659,1090115.4342305937,0.0029619497447099337
Esperanza Medium Uncertainty,317,3849976204,286323,6920,1079286.98618544,0.0027799355563178523
Esperanza Medium Uncertainty,318,4047598059,359161,4724,1186755.196056392,0.0028841594179872076
Esperanza Medium Uncertainty,319,1229754512,331353,7852,1258437.1159131113,0.002366356879876265
Esperanza Medium Uncertainty,320,2287422457,293581,5435,1039361.0619704546,0.0030736006095488304
Esperanza Medium Uncertainty,321,2043889008,281372,6031,1039286.1377299646,0.0029462051331475164
Esperanza Medium Uncertainty,322,87739099,277100,5401,972822.6659184054,0.0033114754353836843
Esperanza Medium Uncertainty,323,1779688514,284174,6445,1074793.1680082597,0.002782190860108859
Esperanza Medium Uncertainty,324,1846690692,299721,6869,1132119.5835449682,0.002644751916469436
Esperanza Medium Uncertainty,325,2300972796,299702,7408,1151133.616002395,0.0025579411079527966
Esperanza Medium Uncertainty,326,3404713010,294111,6208,1071010.5186556212,0.0028998542407482155
Esperanza Medium Uncertainty,327,3525910600,303547,6625,1114549.6008760035,0.002763627573599819
Esperanza Medium Uncertainty,328,2633331413,286100,5717,1032323.2740970781,0.003036258850224399
Esperanza Medium Uncertainty,329,3090764996,340500,7330,1240913.8237197273,0.002500841942793967
Esperanza Medium Uncertainty,330,3674565826,327750,5811,1161544.0445628883,0.002747411481996388
Esperanza Medium Uncertainty,331,3604029247,325097,6918,1185791.8151052317,0.0026148599821717833
Esperanza Medium Uncertainty,332,3652545946,310062,6826,1140634.650638958,0.0026953042510768537
Esperanza Medium Uncertainty,333,41713409,323694,5784,1136510.6095160088,0.002834262262271665
Esperanza Medium Uncertainty,334,4011746908,302217,6898,1147246.7740077958,0.0025969140337976713
Esperanza Medium Uncertainty,335,367159064,296986,4906,1010738.9559326541,0.0032878374750022997
Esperanza Medium Uncertainty,336,3118105598,309999,5968,1097363.4363842187,0.0029114658143374952
Esperanza Medium Uncertainty,337,1577581704,303397,3842,958620.5425495702,0.003733964570592199
Esperanza Medium Uncertainty,338,1039755810,277883,4601,954659.0793525125,0.003448400804108222
Esperanza Medium Uncertainty,339,366374597,243857,4123,856819.1660076918,0.0037567237026129947
Esperanza Medium Uncertainty,340,3137108428,298174,4187,965907.8931969323,0.0036145206877982255
Esperanza Medium Uncertainty,341,4021909439,270065,4175,894943.02094955,0.003813554050749695
Esperanza Medium Uncertainty,342,4266377206,282448,4967,959645.3239365616,0.003468721038485533
