case,metric,n,mean,std,cv,mn,p05,p50,p95,mx
Esperanza Medium Uncertainty,area_cells,1000,301588.682,20668.65963501223,0.0685326103683567,243857.0,267969.7,302095.5,334177.5,381444.0
Esperanza Medium Uncertainty,buildings,1000,5872.247,962.2329376077381,0.16386111442651136,3006.0,4174.8,5876.0,7414.699999999999,8552.0
Esperanza Medium Uncertainty,jaccard,499500,0.8606874819760767,0.04898488228880876,0.05691366879920571,0.5959453680440476,0.7686669148694678,0.8679321286513346,0.9277934546873446,0.9727945485850675
