start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,11.0,1.0,87.5,10.0
120,240,15.5,1.38,274.5,15.0
240,360,22.5,1.75,242.0,20.0
360,480,13.0,2.12,18.0,25.0
480,600,20.0,2.5,328.0,30.0
600,720,19.5,2.5,260.0,30.0
720,840,10.0,2.5,235.0,30.0
840,960,9.0,2.5,337.5,30.0
960,1080,8.0,2.5,284.0,30.0
1080,1200,13.5,2.5,253.5,30.0
1200,1200,1.0,2.5,106.0,30.0
