start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,11.0,1.0,87.5,20.0
120,240,15.5,2.0,274.5,30.0
240,360,22.5,3.0,242.0,40.0
360,480,13.0,4.0,18.0,50.0
480,600,20.0,5.0,328.0,60.0
600,720,19.5,5.0,260.0,60.0
720,840,10.0,5.0,235.0,60.0
840,960,9.0,5.0,337.5,60.0
960,1080,8.0,5.0,284.0,60.0
1080,1200,13.5,5.0,253.5,60.0
1200,1200,1.0,5.0,106.0,60.0
