case,metric,n,mean,std,cv,mn,p05,p50,p95,mx
Camp Medium Uncertainty,area_cells,1000,90243.242,5294.130895564953,0.05866512304117967,71084.0,81020.95,90556.5,98214.25,109226.0
Camp Medium Uncertainty,buildings,1000,2239.094,409.2607427050871,0.182779616534673,993.0,1493.0,2284.0,2843.1499999999996,3397.0
Camp Medium Uncertainty,jaccard,499500,0.8665641826696961,0.054729480793149966,0.06315686926332487,0.5512963061011984,0.7591878181390928,0.8780438724323503,0.9342805181996006,0.9739351010888141
Camp High Uncertainty,area_cells,1000,113797.041,15991.954118864238,0.14053049163962214,69087.0,89602.3,112542.0,141405.5,168521.0
Camp High Uncertainty,buildings,1000,2345.989,801.7797088855395,0.3417661842768826,293.0,1165.7,2295.5,3685.25,4998.0
Camp High Uncertainty,jaccard,499500,0.7481868468102325,0.07968267001541929,0.10650103026420848,0.3873710885297158,0.6070280829335266,0.7547926626784512,0.8672064258355683,0.9514822141877194
