case,run,seed,area_cells,buildings,perimeter_m,compactness
Camp High Uncertainty,909,1419521717,104853,1918,262455.5733890583,0.017215579049911618
Camp High Uncertainty,910,2353979170,100895,2467,259181.30932034628,0.016986920691707832
Camp High Uncertainty,911,2729681872,97361,2429,255750.4348683183,0.016834671166424762
Camp High Uncertainty,912,2468685157,144788,3881,378412.96290371486,0.011435441387351378
Camp High Uncertainty,913,70911381,97349,2167,243185.88509260875,0.018616890304886193
Camp High Uncertainty,914,220447930,107450,2752,276247.32229311566,0.015924383912956322
Camp High Uncertainty,915,684290890,107474,2113,289584.22704894777,0.014494591492200039
Camp High Uncertainty,916,3500468662,132369,2517,307281.33741951047,0.015855001688095463
Camp High Uncertainty,917,4164137915,126927,2387,324086.1815677357,0.013667382879890486
Camp High Uncertainty,918,2316943983,107228,2165,263563.0755554377,0.01745787765523082
Camp High Uncertainty,919,1430277640,100775,1100,223558.84614879685,0.02280454761887584
Camp High Uncertainty,920,1349632110,112935,2905,265592.8439441544,0.018107070434725845
Camp High Uncertainty,921,2464435043,117840,1384,251188.30283396255,0.021122546948742552
Camp High Uncertainty,922,3101786458,97388,1183,208647.90027001937,0.025300539583262453
Camp High Uncertainty,923,3341944497,101428,1111,200154.822356886,0.028633742775973765
Camp High Uncertainty,924,4196459623,100122,1456,223341.5669281832,0.022700884146787097
Camp High Uncertainty,925,2347184873,103797,1683,229542.3699534617,0.02227980843350559
Camp High Uncertainty,926,2667862134,87495,1771,207103.8591470733,0.023070617870968577
Camp High Uncertainty,927,318402641,110586,1355,237101.18379788316,0.02224769788309904
Camp High Uncertainty,928,1699958047,93755,2280,238407.14267493694,0.01865555982867913
Camp High Uncertainty,929,428856365,126588,1574,274478.3569296776,0.019003285855124515
Camp High Uncertainty,930,1166764904,119920,2810,282011.4348428119,0.017053383429916667
Camp High Uncertainty,931,2907915520,105988,1644,247830.22058807046,0.019516437433713518
Camp High Uncertainty,932,2955862172,119872,2769,303805.3872079733,0.014688558708920416
Camp High Uncertainty,933,2387748054,119388,3064,286994.29847569723,0.016393304748646864
Camp High Uncertainty,934,3190084327,110184,3272,296837.16210858297,0.01414276633748482
Camp High Uncertainty,935,964983824,93772,2051,228157.2227672039,0.020373099619826678
Camp High Uncertainty,936,2916427901,123876,3214,311564.27247914544,0.014432589039153268
Camp High Uncertainty,937,93108739,91012,2298,214930.17515787404,0.02228210653645518
Camp High Uncertainty,938,4037856807,143480,2262,319931.62312650867,0.015853654990261257
Camp High Uncertainty,939,2221975028,144338,3394,360866.5841316814,0.012535443948619133
Camp High Uncertainty,940,3990036844,93772,1748,219105.68814339637,0.022091146092374433
Camp High Uncertainty,941,2034482380,100253,2915,253964.47599126457,0.017579390179571674
Camp High Uncertainty,942,1370759165,117181,2269,287208.71406342526,0.016066243629582772
Camp High Uncertainty,943,1538512979,100453,1530,246601.4695048806,0.018682025663708354
Camp High Uncertainty,944,3197943852,133138,2806,354936.6642239477,0.011952332752353283
Camp High Uncertainty,945,374108351,103822,1659,239776.69678340532,0.020423389420793834
Camp High Uncertainty,946,1589831382,124618,3544,312733.02356233477,0.014410719438431339
Camp High Uncertainty,947,2415968049,127893,1911,277290.7746710314,0.018811711345526404
Camp High Uncertainty,948,4036479301,104882,1744,253836.46517212185,0.018409640644231434
Camp High Uncertainty,949,3253593455,81778,965,187324.17085062386,0.0263573182563365
Camp High Uncertainty,950,1765711899,113689,1500,256686.3136531053,0.019514857931590992
Camp High Uncertainty,951,1941074309,107236,2815,264409.8374577704,0.01734753455002151
Camp High Uncertainty,952,1244569604,108289,2975,268749.2400472225,0.016956734762206993
Camp High Uncertainty,953,1516517134,98108,2160,233084.35046880104,0.020423518582913462
Camp High Uncertainty,954,2994913896,100983,3428,267552.255199124,0.01595450777688386
Camp High Uncertainty,955,2006175125,112554,2366,277857.54523888155,0.016488035661495207
Camp High Uncertainty,956,2816365728,130275,2502,305875.9045262552,0.015747909923873357
Camp High Uncertainty,957,1589023071,103878,2785,260401.53226611216,0.01732562387844492
Camp High Uncertainty,958,1509705839,127010,3469,335186.0928099518,0.012785517394272533
Camp High Uncertainty,959,612165239,112120,2647,282671.0690435473,0.01586984700050868
Camp High Uncertainty,960,1636763070,133045,1983,302427.67076134635,0.016451590167138177
Camp High Uncertainty,961,3697408999,117712,3122,302431.7833110419,0.014555202485292813
Camp High Uncertainty,962,3825066007,84507,1234,188052.33318878314,0.027026363005131247
Camp High Uncertainty,963,1280203113,99838,2780,258955.50196230886,0.01683828904459864
Camp High Uncertainty,964,1155833768,102407,1535,222367.37428622058,0.023422857771364936
Camp High Uncertainty,965,3384293882,127545,2667,294491.4976040437,0.016632988620873264
Camp High Uncertainty,966,2840720343,91349,1923,231421.70978168165,0.019290699467163316
Camp High Uncertainty,967,1295981640,119694,3201,291055.6902460065,0.015979845112923288
Camp High Uncertainty,968,207077422,112785,3701,308262.6577630704,0.013423379866582985
Camp High Uncertainty,969,3205692232,92953,1429,210354.8851181175,0.02375803840327278
Camp High Uncertainty,970,572343412,127365,2269,281293.3525969196,0.01820470035494231
Camp High Uncertainty,971,2363231162,112196,1765,265662.9240364215,0.017979095959886338
Camp High Uncertainty,972,3436607719,107803,3540,292823.9240109146,0.014219034501122227
Camp High Uncertainty,973,2139433368,119034,2262,272859.9716457527,0.01808188662852402
Camp High Uncertainty,974,3338736218,112068,3249,283347.7595191307,0.015786811705148635
Camp High Uncertainty,975,3684874584,101013,2135,243911.39807813105,0.0192028394916305
Camp High Uncertainty,976,585223948,129293,2985,326700.29411743174,0.013700245045309931
Camp High Uncertainty,977,630956278,109855,1899,251268.52577972825,0.01967868248531189
Camp High Uncertainty,978,177214950,90986,1429,208240.84399517154,0.023729856695723927
Camp High Uncertainty,979,4133032050,105852,2514,256718.8114867258,0.01816502728969417
Camp High Uncertainty,980,3668991586,123770,1186,266492.26386464183,0.019710541334951707
Camp High Uncertainty,981,1381514881,116313,3167,294798.77682465804,0.01513663283226166
Camp High Uncertainty,982,1945203778,92176,1741,217022.01281971467,0.022134140230817355
Camp High Uncertainty,983,3951192849,98032,1404,209363.27040204278,0.025294101042644856
Camp High Uncertainty,984,3881190027,131018,1916,306115.53872699064,0.015812938734869882
Camp High Uncertainty,985,34915039,82067,1168,186309.83535516274,0.02673925895922972
Camp High Uncertainty,986,3409316371,124019,3611,336851.01705044415,0.012361320669041146
Camp High Uncertainty,987,365392833,108580,2370,279280.4889640337,0.015744215241885524
Camp High Uncertainty,988,3713601268,106376,1325,246361.1037056161,0.019822195131539835
Camp High Uncertainty,989,1622238821,104717,2259,262388.81148672575,0.017201999888419434
Camp High Uncertainty,990,2369669587,128322,3121,329302.4975785373,0.01338330711376504
Camp High Uncertainty,991,4286226192,122482,2541,306839.13395840494,0.01471306474798053
Camp High Uncertainty,992,3759899938,124512,3829,327216.90450074826,0.013152009650278853
Camp High Uncertainty,993,600801233,128089,3012,295061.8634033082,0.01663941474970382
Camp High Uncertainty,994,2337630982,93537,1411,224888.10588474968,0.020917165707425345
Camp High Uncertainty,995,2713148385,140951,3446,336082.1945405048,0.014113330965018892
Camp High Uncertainty,996,1290443916,94830,1714,237481.7725429136,0.019016805315136113
Camp High Uncertainty,997,3783807822,132896,3600,339007.11878099665,0.013078160017828565
Camp High Uncertainty,998,865182860,121420,3264,306162.96080110257,0.014649989171653787
Camp High Uncertainty,999,3670760324,105216,1721,254862.86127518973,0.01831981364802987
