case,metric,n,mean,std,cv,mn,p05,p50,p95,mx
Esperanza Medium Uncertainty,area_cells,1000,301588.682,20668.65963501223,0.0685326103683567,243857.0,267969.7,302095.5,334177.5,381444.0
Esperanza Medium Uncertainty,buildings,1000,5872.247,962.2329376077381,0.16386111442651136,3006.0,4174.8,5876.0,7414.699999999999,8552.0
Esperanza Medium Uncertainty,jaccard,499500,0.8606874819760767,0.04898488228880876,0.05691366879920571,0.5959453680440476,0.7686669148694678,0.8679321286513346,0.9277934546873446,0.9727945485850675
Esperanza High Uncertainty,area_cells,1000,336503.259,37212.75012502821,0.11058659650315067,239770.0,282864.3,331972.5,402046.15,454760.0
Esperanza High Uncertainty,buildings,1000,5002.432,1732.7701358575289,0.3463855452422999,605.0,2381.65,4970.5,7939.0,9814.0
Esperanza High Uncertainty,jaccard,499500,0.7952800002435382,0.07278298312251069,0.09151868914121114,0.4353305955782219,0.6622732997183011,0.8035199110522049,0.8993929339003744,0.9733212795639831
