rollout_depth_adjustment,n_samples,n_run_uids,mean_norm_area,se_norm_area,mean_norm_bldg,se_norm_bldg,mean_composite,se_composite,mean_seconds,se_seconds
0,10,10,0.4333421498804821,0.0689544768758003,0.2978983303190816,0.06528213009318595,0.34304627017288175,0.06572834877176137,906.1,22.369349069156613
1,10,10,0.4613765969989917,0.06885234639098203,0.32057917327628516,0.0657672216678517,0.3675116478505206,0.06501131116118047,985.7,37.38836717483127
2,10,10,0.4680064601593297,0.05210087312995833,0.2933444713314576,0.05181650394042718,0.35156513427408165,0.051162178150050974,1003.7,38.78832871424656
3,10,10,0.50460145649088,0.0585624018415337,0.34315607751933724,0.0555222953794817,0.3969712038431848,0.05608731219025034,1017.5,18.194168785019496
4,10,10,0.42800698138289783,0.06589820692393264,0.2903589896080832,0.06327880329877454,0.3362416535330214,0.06337297824438118,1057.1,22.336542058051666
5,10,10,0.5069278202528997,0.054030216453001136,0.3504913547135388,0.05880429506701135,0.4026368432266591,0.05673291872755187,1079.6,17.23768481489837
6,10,10,0.45888402982744986,0.04746534100076866,0.2999472967517044,0.05246028499474541,0.3529262077769528,0.0500531026992985,1120.7,34.46191134184715
