case,metric,n,mean,std,cv,mn,p05,p50,p95,mx
Marshall High Uncertainty,area_cells,1000,63434.031,14758.519659524785,0.23265933800620026,24239.0,40318.35,62987.0,89276.35,104249.0
Marshall High Uncertainty,buildings,1000,4061.419,923.1067487070542,0.2272867558621886,1548.0,2659.7,4010.5,5597.4,6808.0
Marshall High Uncertainty,jaccard,499500,0.6249739490739376,0.12796823517935138,0.20475771089174166,0.15198665572018713,0.400458385321391,0.6336371968505624,0.8196276998667403,0.9627511160714286
