case,run,seed,area_cells,buildings,perimeter_m,compactness
Camp Medium Uncertainty,333,3042188325,93366,2469,233637.65999321803,0.01934440743375815
Camp Medium Uncertainty,334,3311159188,87673,2047,224122.45004572868,0.01974001680988531
Camp Medium Uncertainty,335,820631810,85874,2152,220272.67299149468,0.020016715765535473
Camp Medium Uncertainty,336,2107130371,78476,1384,196884.0907583569,0.022896441105976183
Camp Medium Uncertainty,337,3551497570,94977,2697,244643.82448500238,0.017947431575380264
Camp Medium Uncertainty,338,1331586623,92074,1953,222713.3331632744,0.020994084884628138
Camp Medium Uncertainty,339,3665685375,89888,1983,230154.79636033307,0.019191725849755637
Camp Medium Uncertainty,340,3292848033,92941,2012,229178.47168401416,0.020012994525028985
Camp Medium Uncertainty,341,558889401,88558,1777,231546.33964965848,0.018681181221268724
Camp Medium Uncertainty,342,3904612056,80704,1571,202386.2141271951,0.022283611645183516
Camp Medium Uncertainty,343,4209312128,95583,2499,231450.3093458552,0.02017982982843996
Camp Medium Uncertainty,344,214243878,89202,2395,224901.04960990197,0.01994545742133212
Camp Medium Uncertainty,345,256703211,87387,2374,221748.18597701684,0.020099212981208415
Camp Medium Uncertainty,346,4189625545,87869,1817,223050.61238388813,0.01997474379218265
Camp Medium Uncertainty,347,4243651252,88545,2014,216950.9868486703,0.02127615550324859
Camp Medium Uncertainty,348,106266868,89292,2066,232280.01497333977,0.018717215186231585
Camp Medium Uncertainty,349,3073196747,92681,2581,226756.11670389253,0.02038567342956158
Camp Medium Uncertainty,350,718118096,82168,1773,217815.8396624129,0.019587372041559
Camp Medium Uncertainty,351,1030847251,89132,2700,228848.10588474976,0.019248255755442926
Camp Medium Uncertainty,352,2538299436,87351,2032,220158.33749603346,0.02038214939763704
Camp Medium Uncertainty,353,812452288,86738,2173,229415.09073284807,0.018638794212168037
Camp Medium Uncertainty,354,1537003380,99423,3169,265010.5690562997,0.016010793181734387
Camp Medium Uncertainty,355,1805334225,83534,1860,210660.18382339165,0.021288778030929077
Camp Medium Uncertainty,356,2615209021,84956,1855,209975.33100964938,0.021792641802666272
Camp Medium Uncertainty,357,678337339,88878,2020,215706.79420670765,0.021603245337411384
Camp Medium Uncertainty,358,897034501,93824,2466,236613.5387780048,0.01895340033921491
Camp Medium Uncertainty,359,400277289,87473,2210,224673.99333505429,0.019598407611376913
Camp Medium Uncertainty,360,3726759175,102534,2622,250812.49547592507,0.01843409983210508
Camp Medium Uncertainty,361,1022899401,85602,1856,217132.23576548076,0.02053466757275316
Camp Medium Uncertainty,362,2523982820,88857,2440,217277.45437848754,0.02128701131660104
Camp Medium Uncertainty,363,2859655357,89261,2071,223040.3180113727,0.020293052090431283
Camp Medium Uncertainty,364,4287240862,76706,1340,186975.34834068487,0.024814927322102765
Camp Medium Uncertainty,365,181554400,94606,2728,233726.62535665586,0.019586402586530504
Camp Medium Uncertainty,366,2564355270,87592,1901,224932.8158449935,0.019579931862108924
Camp Medium Uncertainty,367,3747931529,94312,2513,236958.98033677763,0.01899647338206854
Camp Medium Uncertainty,368,714741028,90601,2622,228899.94354659042,0.019556628841779753
Camp Medium Uncertainty,369,2117473986,85806,1771,208944.1535195885,0.02222847062861273
Camp Medium Uncertainty,370,1873288388,92019,2229,224260.02363885762,0.020693128546296378
Camp Medium Uncertainty,371,2276832594,91641,2420,230469.35480155997,0.01951263051927695
Camp Medium Uncertainty,372,204604874,86134,2091,212122.3872844971,0.021649804409833155
Camp Medium Uncertainty,373,3107319299,99059,2927,249972.49547592495,0.017929239200819187
Camp Medium Uncertainty,374,1416170584,89087,2168,232450.08640008923,0.01864692757043269
Camp Medium Uncertainty,375,1502198136,84393,1871,223937.66865873575,0.019032879310797907
Camp Medium Uncertainty,376,3211478658,89727,2358,229723.25307100732,0.01922939434078629
Camp Medium Uncertainty,377,2144856044,91579,1960,231345.75090462784,0.019351971502656523
