Strategy,best_composite_count,best_norm_area_count,best_norm_bldg_count,total_best_count
MCTS,24,29,18,71
Structures–Exposure,8,1,9,18
Structures–Outcome (Truth),7,2,9,18
Structures–Outcome (Mean),5,2,9,16
ROS–Truth,4,6,3,13
ROS–Mean,2,6,1,9
Random Allocation,0,0,0,0
Wind–Mean,0,0,0,0
Wind–Mean Lookahead,0,1,1,2
Wind–Truth,0,2,0,2
Wind–Truth Lookahead,0,1,0,1
